Post ID,Category,Channel Name,URL,Message,Combined Replies,purely_english,other_languages,clean_text,Message_Translated,Combined_Replies_Translated,row_index,llm_label,llm_confidence,llm_tactics,llm_rationale
992,blackhat_resources,direct_mods_here,https://t.me/direct_mods_here,🆕 VALENTINE OFFER 🥰  ᴍꜱɢ ᴍᴇ ꜰᴏʀ ᴏʀᴅᴇʀꜱ :- @justhere_foru 💸  ✅ɪᴘʜᴏɴᴇ 15 ᴘʀᴏ/ᴍᴀx - 2500 ₹ ✅ ɪᴘʜᴏɴᴇ 14 pro max - 2500 ₹ ✅ɪᴘʜᴏɴᴇ 13 ᴘʀᴏ ᴍᴀx:-2500₹ ✅ɪᴘʜᴏɴᴇ 13 ᴘʀᴏ:-2500₹ ✅ɪᴘʜᴏɴᴇ 13:-2500₹ ✅ ɪᴘʜᴏɴᴇ 12 / 12 ᴘʀᴏ - 2500/2500₹ ✅ ɪᴘʜᴏɴᴇ 12 ᴘʀᴏ ᴍᴀx - 2500 ✅ɪᴘʜᴏɴᴇ 11 ᴘʀᴏ ᴍᴀx - 2500₹ ✅ ɪᴘʜᴏɴᴇ 11/ 11ᴘʀᴏ - 2500₹ ✅ ᴏɴᴇ ᴘʟᴜꜱ 9 ᴘʀᴏ- 2500₹ ✅ ᴏɴᴇ ᴘʟᴜꜱ 10 ᴘʀᴏ - 2500₹ ✅ᴏɴᴇ ᴘʟᴜꜱ 11 - 2500/ ✅ ꜱᴀᴍꜱᴜɴɢ ꜱ21/21+5ɢ- 2500 ✅ ꜱᴀᴍꜱᴜɴɢ ɢᴀʟᴀxʏ ꜱ22/ꜱ23- 2500/ ✅ ᴀᴘᴘʟᴇ ᴍᴀᴄʙᴏᴏᴋ ᴘʀᴏ - 2500/ ✅ ᴀᴘᴘʟᴇ ᴍᴀᴄʙᴏᴏᴋ ᴀɪʀ - 2500/ ✅ ᴄᴀɴᴏɴ 5ᴅ ᴍᴀʀᴋ ɪᴠ - 2500/ ✅ ꜱᴀᴍꜱᴜɴɢ <NRP> <PERSON> ᴜʟᴛʀᴀ- 2500 ₹ ✅ ᴄᴀɴᴏɴ 80ᴅ - 2500 ₹ ʟᴇɴᴏᴠᴏ ʟᴇɢɪᴏɴ ʟᴀᴘᴛᴏᴘ - 2500 ₹  ᴀʟʟ ᴘʀᴏᴅᴜᴄᴛ ᴀʀᴇ ʙʀᴀɴᴅ ɴᴇᴡ 😇  ⚠️ ꜰᴏʀ ᴘʀᴏᴏꜰꜱ DM 👋  ❌ ɴᴏ ᴄᴀꜱʜ ᴏɴ ᴅᴇʟɪᴠᴇʀʏ 📌  ᴘʀᴏᴄᴇꜱꜱ :- <DATE_TIME> ᴀᴅᴠᴀɴᴄᴇ ʀᴇꜱᴛ ᴀꜰᴛᴇʀ ᴏʀᴅᴇʀ ʙᴏᴏᴋᴇᴅ.🥳  ʟɪᴍɪᴛᴇᴅ ᴛɪᴍᴇ ᴅᴇᴀʟ ᴏɴʟʏ 🫂  ✅ ᴍꜱɢ ᴍᴇ ꜰᴏʀ ᴏʀᴅᴇʀꜱ :- @justhere_foru 💸,Bro me <PERSON> vo sab order <PERSON> username mention <PERSON> msg kriye yaha group me ni || <PERSON> delivery recieve kara do mai 2500 nhi 5000 dunga😂 || OLX <PERSON>🤣🤣 || Apple CEO resigned after this post ..... 💀 || <PERSON> || Price <PERSON> || S24 ultra ₹150 😂😂 || <PERSON> ke lele || Onepuls,no,Romanized Hindi,yes,🆕 VALENTINE OFFER 🥰 MSG ME FOR ORDERS :- @justhere_foru 💸 ✅ iPhone 15 Pro/Max - 2500 ₹ ✅ iPhone 14 Pro Max - 2500 ₹ ✅ iPhone 13 Pro Max - 2500 ₹ ✅ iPhone 13 Pro - 2500 ₹ ✅ iPhone 13 - 2500 ₹ ✅ iPhone 12 / 12 Pro - 2500/2500 ₹ ✅ iPhone 12 Pro Max - 2500 ✅ iPhone 11 Pro Max - 2500 ₹ ✅ iPhone 11 / 11 Pro - 2500 ₹ ✅ OnePlus 9 Pro - 2500 ₹ ✅ OnePlus 10 Pro - 2500 ₹ ✅ OnePlus 11 - 2500/ ✅ Samsung S21/21+5G - 2500 ✅ Samsung Galaxy S22/S23 - 2500/ ✅ Apple MacBook Pro - 2500/ ✅ Apple MacBook Air - 2500/ ✅ Canon 5D Mark IV - 2500/ ✅ Samsung <NRP> <PERSON> Ultra - 2500 ₹ ✅ Canon 80D - 2500 ₹ Lenovo Legion Laptop - 2500 ₹ All products are brand new 😇 ⚠️ FOR PROOFS DM 👋 ❌ NO CASH ON DELIVERY 📌 PROCESS :- <DATE_TIME> ADVANCE REST AFTER ORDER BOOKED.🥳 LIMITED TIME DEAL ONLY 🫂 ✅ MSG ME FOR ORDERS :- @justhere_foru 💸,"Bro, I told <PERSON> to order all that, mention <PERSON>'s username, and message <PERSON> here, not in the group.||<Person> deliver and receive it, I will give 5000 not 2500 😂|| OLX <PERSON>🤣🤣 || Apple CEO resigned after this post ..... 💀 || <PERSON> || Price <PERSON> || S24 ultra ₹150 😂😂 || <PERSON> ke lele || Onepuls",11,potential_scam,0.8,urgency;trust_building,Limited time deal and advance payment suggest urgency and trust-building without confirmed scam or delivery evidence.
994,blackhat_resources,direct_mods_here,https://t.me/direct_mods_here,"👉 𝐓𝐎𝐃𝐀𝐘 𝐁𝐄𝐒𝐓 𝐒𝐏𝐄𝐂𝐈𝐀𝐋 <PERSON>   👉🌹<DATE_TIME>'s Best Offer BITCOINE  💰💰💰👇👇👇👇  💵 PayTM//Google pay/Phonepay  👉 ₹1000/-And Get ₹ 3000/- 👉 ₹3000 /- And Get ₹10,000/- 👉 ₹5000/- And Get ₹ 15000/- 👉 ₹8000/- And Get ₹25000/- 👉 ₹10000/- And Get ₹30000/- 👉 ₹15000/- And Get ₹45000/- 👉 ₹20000/- And Get ₹60000/- 👉 ₹30000/- And Get ₹90000/- 👉 ₹50000/- And Get ₹1.5 Lac...  💰 Money Will Be Credited In Your Account Under 15-45Minutes.   DM-- @justhere_foru",<PERSON> || Can explain || But how || Really..!!,yes,,yes,,,13,potential_scam,0.85,urgency;trust_building,"Promises unrealistic returns with time pressure and unverifiable claims, but no direct evidence of scam or delivery failure."
77,blackhat_resources,fudcrypter_by_newcoder,https://t.me/fudcrypter_by_newcoder,If you want to Buy then you can test one files for <DATE_TIME>,ı want || I want || Inter || @new_codar || Me || Where to dm || Interested || Crypto drainer available || DM 🆔 || . || Me || i dmed you || me || Okay || @new_codar || me || mne || i dmed u || Free Trial For <DATE_TIME> only for <DATE_TIME> DM me fast || me || <PERSON>,yes,,yes,,,35,potential_scam,0.8,urgency;trust_building,Offers free trial with time limits and multiple expressions of interest suggest manipulation but no confirmed scam or delivery issues.
1081,blackhat_resources,hackers_asylum,https://t.me/hackers_asylum,"✉️Telegram's NEW CRYPTO CURRENCY NOTCOIN 🤑  ✉️ NOTCOIN, a new crypto project backed by Telegram and Ton coin. You Can earn money by tapping.  🤑 Notcoin price -   <DATE_TIME> 10M Notcoin = 7.5 TON * $3.8 = $28.5  Now 10M Notcoin = 7.5 TON * $4.2 = $31.5  🤑  Click Here To Start Farming   🤑",i wonder the same thing || Pls how do I start to mine the notcoin || Bro wtf😅😭😭 || From this || Have u ever received money || For <PERSON> || Yes || Hey bro I got 5 reffial is that enough to withdraw || You can sell them only after you have accumulated 10million not coin || And then how to withdraw the coins<PERSON> || How does it work😭😭 || Nope || Scam? || I don't know it is fluctuating || Why ? || No Notcoin  10million Notcoin 20$ || 1 ton  = 10$ ? || In Uzbekistan price is 10$,yes,,yes,,,91,potential_scam,0.8,trust_building,"Post uses vague earnings claims and appeals to profit without evidence, suggesting manipulation but no confirmed scam yet."
6486,blackhat_resources,hacktheirsystem,https://t.me/hacktheirsystem,"🥷IOT <PERSON>  IoT penetration testing (pen testing) is a security practice that simulates cyberattacks on IoT devices and networks to identify vulnerabilities and weaknesses. It's like a controlled security experiment that helps identify and fix chinks in the armor of your IoT ecosystem before attackers can exploit them.  🔥Here are some cool methods used in IoT pen testing:  🌙Fuzzing Sending unexpected or malformed data to devices to see how they react. This can uncover hidden vulnerabilities in device firmware or communication protocols.   🌙Sniffing Capturing network traffic to eavesdrop on communication between devices and cloud services. This can reveal sensitive information like usernames, passwords, or API keys.  🌙Side-channel analysis  Analyzing subtle variations in a device's power consumption or electromagnetic emissions to extract sensitive data. This can be used to steal encryption keys or bypass authentication mechanisms.   🌙Physical security testing Trying to physically tamper with devices to gain unauthorized access. This might involve opening up devices, probing for hidden ports, or even glitching them with electrical signals. By using these methods, pen testers can identify a wide range of vulnerabilities in IoT devices, from weak passwords to insecure communication protocols. This information can then be used to improve the security of IoT devices and networks.  <PERSON>Password : @its_me_kali  ♡ ㅤ    ❍ㅤ    ⎙ㅤ  ⌲            ˡᶦᵏᵉ  ᶜᵒᵐᵐᵉⁿᵗ  ˢᵃᵛᵉ  <DATE_TIME>","🔥🚨🚨🚨🚨🔥 MAKE SO MUCH MONEY IN THIS ONE-TIME OPPORTUNITY 🔥For Hackers Only🔥 ----------------------------------------------------  STOP!  This Isn't For You If You Don't Want To Make So Much Money From Your Skills And Tools.  But, If You Want To Make So Much Money, You've To Join Our Hacking Hangout Now. Click Here [LINK]  🤦‍♂With all these HungrY RipperS on the net now, I know you'll love to join a Safe Hacking Hangout where you're secure while you make so much money 💰💰 at doing what you love.  So, that's why I'm ExposinG you to the A-Z of Hacking/Cracking. The Only One Like This For The Dark Web]  🚨 Don't Join This Hacking Hangout If You Enjoy Being Ripped!🚨  🔥 THIS ONE-TIME OPPORTUNITY IS FOR ONLY THE FIRST FEW HACKERS TO JOIN NOW!🔥  Because we'll close the Access entry soon to avoid time wasters from joining Our HACKING HANGOUT.<PERSON>  Here is what would happen if you join Our FRAUD FAMILY <DATE_TIME>:  You'll gain access to ✅ Our <DATE_TIME> Fully Automated Escrow Service, The Only One Like This For The Dark Web. ✅ The Ability To Deal With Anyone In The World Completely ANONYMOUSLY Through Our Escrow And Be Safe From Rippers. ✅ Access To Quality Products From A Well-known And Trusted, Reliable Source. ✅ Access To New Features And Services Added BIMONTHLY. ✅ Access To Our Marketplace [add tool list here].  And Here is how it would help you, your security and your finance.  🔥For Your Finance! ✅ Real Networking Available For Those Serious About Providing Paid Services. ✅ The Latest Updates And Best Available Tools You Could Need. [NO NEED TO BE LOST ABOUT HOW TO MAKE MONEY]🤑 ✅ Knowledge And Current Information Scrapped From Our Extensive Automated Web Search Posting Directly Into Topic Specific Forum's & Interactive Hacking Forums.   🔥For Your Added Security! ✅ Full Encryption (For Privacy). ✅ BTC Tumbler To Break The Bitcoin Blockchain Preventing ANYONE From Following The Trail, Thereby Ensuring Your Safety From This Avenue.  This One-time Opportunity Of Joining Our Hacking Hangout Is ONLY For First Few Hackers To Join NOW!  Access Will Be Denied Immediately As The Desired Number Of Members Are Reached. Maybe 10 Members, Maybe 20 Members Or Evening Less, WHO KNOWS <PERSON>🤷‍♂  🚨 Remember this isn't for Time Wasters ! 🚨  I Know You're Not A Time Waster, So Join Now By Clicking Here  [[LINK] || The link expired || Your Trust Administrators From DTS have Available Our list of Products & Services At A Price That You Cannot Beat  https://t.me/joinchat/hN6t-Zl0V8M1NmQx",yes,,no,,,126,potential_scam,0.85,authority;urgency;trust_building;fear_induction,"Manipulative language, fake urgency, unverifiable trust claims, and fear tactics suggest potential scam but no confirmed fraud yet."
447,blackhat_resources,mrx_otpservices,https://t.me/mrx_otpservices,AS THE MAJORITY OF YOU VOTED WE GONNA MAKE A DISCOUNT ON 1 YEAR SUBSCRIPTION ✅✅✅  🔥🔥🔥 DISCOUNT 🔥🔥🔥 YOU CAN NOW GET THE OTP BOT 🤖☎️1 YEAR SUBSCRIPTION ✅  1YEAR 170$❌ 70$✅  OFFER IS VALID FOR <DATE_TIME> ONLY 🔑  CHANNEL : https://t.me/mrx_otpservices  BOT : https://t.me/MRX0TP1bot  VOUCHE : https://t.me/successsmrx  OWNER : https://t.me/mrx13121213,Is it Online?? || Yes the bot is online || Does the bot work? || Hello sir?,yes,,yes,,,129,potential_scam,0.8,urgency;trust_building,"Discount with time limit and vouches suggest manipulation, but no confirmed scam or delivery failure in thread."
1230,credential_compromise,emaillogspam,https://t.me/emaillogspam,"EMAIL SENDOUTS SERVICE ⚠️  WE SEND TO ALL EMAILS AND ANY COUNTRY (OFFICE,<PERSON>,HOTMAIL,AOL,ETC)  .100% INBOX DELIVERY (GUARANTEED)  .WE USE OUR SMTP & MAILER  .WE DO SENDOUTS FROM 10K - 100K DAILY  . WE USE ONLY THE BEST OF THE BEST SMTPS   ALL TOOLS ARE REDAY FOR THIS SERVICES ... WE START SENDING IMMIDIATELY   🤙🏻 CONTACT US NOW :  <PERSON>",Yes he is good 💯 || Hello is this guys smtp good and works the way they say it works ? || Check Inbox 📥 || Need bulk email send || Check inbox 📥 || How much for 5k send out please admin @Webeyex give me a reply,yes,,yes,,,154,potential_scam,0.7,authority;trust_building,Claims of guaranteed delivery and use of 'best' tools suggest authority and trust-building without confirmed scam evidence.
14308,credential_compromise,hubsurfs,https://t.me/hubsurfs,First 10 to send mail gets wordtune invite,<EMAIL_ADDRESS> || <EMAIL_ADDRESS> || <EMAIL_ADDRESS> || <EMAIL_ADDRESS> || <EMAIL_ADDRESS> || <EMAIL_ADDRESS> || <EMAIL_ADDRESS> || <EMAIL_ADDRESS> || <EMAIL_ADDRESS> || already added || Idk🫠🫠 || deleted by who😂 || Invitation deleted and not found || join and send screenshot || <EMAIL_ADDRESS> || Send again || Ok || invite sent || join what || join and send screenshot || <EMAIL_ADDRESS>,yes,,yes,,,163,potential_scam,0.8,urgency,"The offer limits invites to first 10, creating artificial scarcity but no clear evidence of scam or delivery failure."
14339,credential_compromise,hubsurfs,https://t.me/hubsurfs,Semrush Pro Giveaway  Claim Account  http://tinyurl.com/bffppw4e,Plz give one other account || Some claim it already || Incorrect password,yes,,yes,,,169,potential_scam,0.8,authority;trust_building,Fake giveaway with credential claims and complaints suggests manipulation but no confirmed scam yet.
743,credential_compromise,techhackers1,https://t.me/techhackers1,Play store Trick New   Get many apps subscription  without any money loss  This trick get following apps trials   Screen Recorder  TRUECALLER PSIPHONE PRO Microsoft office Tempmail <PERSON>Nord vpn Hma vpn Express VPN Snapchat  Crunchyroll YouTube   And many more apps available in Play Store enjoy this trick,Inaezabuy game tokens? || yes please || Logins? || I need nord vpn,yes,,yes,,,185,potential_scam,0.7,trust_building,Claims of free app subscriptions suggest manipulation but no confirmed scam or delivery details present.
