row_index,Post ID,Category,llm_label,llm_confidence,llm_tactics,llm_rationale
0,432,blackhat_resources,unclear,0.8,,No clear scam or manipulation tactics present; conversation is vague and lacks sufficient signal to classify.
1,434,blackhat_resources,illicit_not_scam,0.9,,Illegal exploit tool is offered and discussed without evident manipulation or scam indicators in the thread.
2,435,blackhat_resources,illicit_not_scam,0.8,,Post advertises a blackhat resource link with no evident manipulation or scam indicators in replies.
3,451,blackhat_resources,illicit_not_scam,0.8,,Offers blackhat SMS sender tool with no evident manipulation tactics or scam indicators in the conversation.
4,462,blackhat_resources,illicit_not_scam,0.9,,Illegal software is offered and discussed without evident manipulation or scam indicators in the thread.
5,1000,blackhat_resources,illicit_not_scam,0.9,,Illegal hacking tutorial offered with no manipulation tactics or scam indicators present in the thread.
6,976,blackhat_resources,illicit_not_scam,0.8,,"Mod APK offered with no manipulation tactics or complaints indicating scam, just illegal software distribution."
7,979,blackhat_resources,illicit_not_scam,0.9,,No manipulation tactics or scam indicators present; conversation is minimal and neutral in a blackhat_resources context.
8,980,blackhat_resources,illicit_not_scam,0.9,,Offering a modded app is illicit but no manipulation tactics or scam indicators are present in the thread.
9,986,blackhat_resources,illicit_not_scam,0.9,,The post shares instructions for hacking tools without evident manipulation or confirmed scam behavior.
10,988,blackhat_resources,illicit_not_scam,0.9,,"The post shares hacking tool instructions with no evident manipulation or scam tactics, indicating illicit but delivered content."
11,992,blackhat_resources,potential_scam,0.8,urgency;trust_building,Limited time deal and advance payment suggest urgency and trust-building without confirmed scam or delivery evidence.
12,993,blackhat_resources,illicit_not_scam,0.8,urgency;trust_building,"Illegal discounted gift cards sold with urgency and unverifiable trust claims, but no clear scam or manipulation beyond typical illicit trade."
13,994,blackhat_resources,potential_scam,0.85,urgency;trust_building,"Promises unrealistic returns with time pressure and unverifiable claims, but no direct evidence of scam or delivery failure."
14,996,blackhat_resources,illicit_not_scam,0.8,,"The thread offers illegal carding tutorial with no clear manipulation or scam indicators, just user queries and issues."
15,997,blackhat_resources,illicit_not_scam,0.8,,Post offers blackhat tool without manipulation tactics or scam indicators; replies show interest but no scam evidence.
16,998,blackhat_resources,illicit_not_scam,0.8,,The post offers illegal hacking methods without evident manipulation tactics or confirmed scam behavior.
17,999,blackhat_resources,illicit_not_scam,0.9,,Offers blackhat tool with user reports of functionality issues but no manipulation or scam indicators present.
18,1078,blackhat_resources,illicit_not_scam,0.8,,Illegal service offered with no evident manipulation tactics or complaints indicating scam behavior in the thread.
19,1082,blackhat_resources,unclear,0.7,authority,Post claims authority (@Manager_official) and payment for abuse but no clear scam or manipulation beyond authority claim.
20,1121,blackhat_resources,illicit_not_scam,0.9,,"Offers hacking tools with no evident manipulation or scam indicators, and users discuss usage issues without complaints of fraud."
21,104,blackhat_resources,unclear,0.8,,No clear scam or manipulation tactics present; just an announcement with neutral replies and no transaction details.
22,112,blackhat_resources,illicit_not_scam,0.8,authority,Illegal software is sold with claims of verified sellers but no clear manipulation or scam evidence in the conversation.
23,113,blackhat_resources,illicit_not_scam,0.8,,Illegal software offered and discussed with no evident manipulation or scam indicators in the thread.
24,128,blackhat_resources,illicit_not_scam,0.8,,"Selling blackhat script with no evident manipulation or scam indicators, just a normal illicit transaction discussion."
25,130,blackhat_resources,illicit_not_scam,0.8,,"Offer for blackhat tool with test files, no manipulation tactics or scam indicators present in the thread."
26,131,blackhat_resources,illicit_not_scam,0.8,,"Discussion of blackhat tools without manipulation tactics or scam indicators, indicating actual exchange of illicit goods."
27,133,blackhat_resources,illicit_not_scam,0.8,,Discussion about free tests for blackhat software without clear manipulation or scam indicators.
28,137,blackhat_resources,illicit_not_scam,0.85,authority;trust_building,"Illegal software sold with demo and test offer, no clear scam or manipulation beyond unverifiable trust claims and seller authority."
29,148,blackhat_resources,illicit_not_scam,0.8,,Discussion of blackhat resources with no manipulation tactics or scam indicators present in the thread.
30,157,blackhat_resources,illicit_not_scam,0.8,,Offers illegal blackhat tool with free test and no evident manipulation or scam indicators in replies.
31,159,blackhat_resources,illicit_not_scam,0.9,,Illegal software is offered and discussed without evident manipulation or scam indicators in the thread.
32,162,blackhat_resources,illicit_not_scam,0.9,,Illegal software is sold and discussed without clear manipulation or scam indicators in the thread.
33,163,blackhat_resources,illicit_not_scam,0.8,,No manipulation tactics or scam indicators; offers illegal bypass methods with no evidence of deception or pressure.
34,165,blackhat_resources,illicit_not_scam,0.9,,"Post advertises blackhat tool with no evident manipulation or scam tactics, and replies discuss technical aspects without complaints or deception."
35,77,blackhat_resources,potential_scam,0.8,urgency;trust_building,Offers free trial with time limits and multiple expressions of interest suggest manipulation but no confirmed scam or delivery issues.
36,80,blackhat_resources,illicit_not_scam,0.8,trust_building,Illegal service advertised with claims of effectiveness but no clear manipulation or scam indicators present.
37,98,blackhat_resources,unclear,0.7,,No clear scam or manipulation tactics present; conversation is too brief and ambiguous to classify confidently.
38,188,blackhat_resources,illicit_not_scam,0.9,,"Discussion about a blackhat crypter with no clear manipulation or scam tactics, just user feedback and complaints about product performance."
39,189,blackhat_resources,illicit_not_scam,0.8,,Post offers blackhat tools with no evident manipulation tactics or scam indicators in replies.
40,192,blackhat_resources,unclear,0.8,,No clear manipulation or scam indicators; conversation is vague and lacks transactional details or pressure tactics.
41,196,blackhat_resources,illicit_not_scam,0.8,,Post advertises blackhat tool update with no clear manipulation or scam indicators present in replies.
42,751,blackhat_resources,unclear,0.9,authority,"No clear scam or illicit transaction, only vague authority claim and unrelated comments without manipulation or transaction evidence."
43,809,blackhat_resources,illicit_not_scam,0.9,,"The post shares a hacking guide without evident manipulation or scam indicators, and replies show no complaints or deception."
44,813,blackhat_resources,illicit_not_scam,0.9,,Discussion of hacking tools and malware detection without clear manipulation or scam indicators.
45,820,blackhat_resources,illicit_not_scam,0.9,,The thread offers illegal blackhat tools and tutorials with no evident manipulation or scam tactics present.
46,827,blackhat_resources,illicit_not_scam,0.9,,Illegal services offered with no evident manipulation tactics or complaints indicating scam behavior.
47,828,blackhat_resources,illicit_not_scam,0.9,,The tool is illegal blackhat software but no manipulation tactics or scam behavior are evident in the thread.
48,829,blackhat_resources,illicit_not_scam,0.9,,"Offers blackhat tool with no clear manipulation or scam indicators, and no complaints of non-delivery or deception."
49,830,blackhat_resources,illicit_not_scam,0.8,trust_building,Illegal hacking tools and services are offered and discussed without clear evidence of scam or manipulation tactics beyond unverifiable claims.
50,831,blackhat_resources,illicit_not_scam,0.9,,Illegal goods and services are offered and discussed without clear manipulation or scam indicators in the thread.
51,832,blackhat_resources,illicit_not_scam,0.8,,Discussion about Instagram followers panel suggests illicit service but no manipulation tactics or scam indicators present.
52,854,blackhat_resources,illicit_not_scam,0.9,,The post shares a script to bypass YouTube adblock detection without manipulation or scam indicators.
53,856,blackhat_resources,illicit_not_scam,0.9,,Illegal cracked tools are offered and discussed with no evident manipulation or scam tactics present in the thread.
54,858,blackhat_resources,unclear,0.8,urgency,Post uses reaction count to create urgency but no clear scam or manipulation beyond that is evident in the thread.
55,1001,blackhat_resources,illicit_not_scam,0.9,,"Sharing links to blackhat resources with no evident manipulation or scam tactics, and no complaints of non-delivery or deception."
56,1002,blackhat_resources,illicit_not_scam,0.9,,Illegal course shared with download link and no manipulation tactics or scam indicators present in the thread.
57,1005,blackhat_resources,illicit_not_scam,0.9,,The post shares illicit course content with no evident manipulation or scam tactics present in the thread.
58,1011,blackhat_resources,illicit_not_scam,0.9,,Offers illegal blackhat courses with direct download links and no evident manipulation or scam tactics present.
59,1015,blackhat_resources,illicit_not_scam,0.8,,"Illegal software/course offered with no clear manipulation or scam indicators, and no complaints of non-delivery or deception."
60,1016,blackhat_resources,illicit_not_scam,0.9,,"Post shares darknet market links for illegal goods without manipulation or scam indicators, replies are unrelated comments without deceptive tactics."
61,1018,blackhat_resources,unclear,0.8,,No clear scam or manipulation tactics present; mostly discussion about leaked data and possible scam channels without direct offers or pressure.
62,1019,blackhat_resources,illicit_not_scam,0.8,,Offers blackhat resource with download link and no evident manipulation or scam indicators in replies.
63,1020,blackhat_resources,illicit_not_scam,0.9,,Illegal digital goods offered with links and no evident manipulation or complaints indicating scam behavior.
64,1024,blackhat_resources,illicit_not_scam,0.9,,"Illegal leaked course is shared with no signs of manipulation or scam tactics, and no complaints of non-delivery or deception."
65,1025,blackhat_resources,illicit_not_scam,0.8,,Thread shares pirated course materials with no evident manipulation or scam tactics present.
66,1027,blackhat_resources,unclear,0.9,,"No transactional or manipulative content present, only discussion about hacking group announcement without scam indicators."
67,1028,blackhat_resources,illicit_not_scam,0.8,authority,Illegal forex course shared with authority claims but no clear manipulation or scam tactics present in the thread.
68,1029,blackhat_resources,illicit_not_scam,0.9,,Offers illegal book downloading service with no evident manipulation tactics or scam indicators in the thread.
69,1033,blackhat_resources,illicit_not_scam,0.9,,Post advertises blackhat software with no manipulation tactics or scam indicators present in replies.
70,1037,blackhat_resources,unclear,0.9,,No manipulation tactics or scam indicators present; conversation is general discussion about cryptocurrency prices and unrelated requests.
71,1038,blackhat_resources,illicit_not_scam,0.9,,"Discussion about leaked sensitive data without evidence of manipulation or scam tactics, indicating illicit content but no scam present."
72,1040,blackhat_resources,illicit_not_scam,0.8,,"Discussion of leaked sensitive data without manipulation or scam indicators, consistent with illicit content but no scam tactics present."
73,872,blackhat_resources,unclear,0.9,,No transactional or manipulative content present; conversation is off-topic and lacks any scam or illicit indicators.
74,877,blackhat_resources,unclear,0.8,urgency,No clear scam or illicit transaction; only a limited time claim suggests urgency without evidence of manipulation or fraud.
75,904,blackhat_resources,illicit_not_scam,0.9,,Illegal software is offered and discussed without evidence of manipulation or scam tactics in the thread.
76,905,blackhat_resources,illicit_not_scam,0.9,,Discussion centers on sharing and downloading blackhat course files with no evident manipulation or scam tactics present.
77,989,blackhat_resources,illicit_not_scam,0.9,,Offers a method to download Udemy courses illegally but no manipulation tactics or scam indicators present.
78,991,blackhat_resources,unclear,0.8,authority,Post claims special access via @Hackers_Asylum but no clear scam or manipulation beyond authority claim is evident.
79,992,blackhat_resources,illicit_not_scam,0.9,,"Free sharing of a paid course with no payment or manipulation tactics, but content is likely pirated or unauthorized distribution."
80,995,blackhat_resources,unclear,0.7,trust_building,"No clear scam or illicit transaction, but mentions of fake courses suggest possible trust-building manipulation without confirmed fraud."
