persona_uuid,run_number,sex,age_bracket,agree_bucket,total_victim_turns,closure_duration,closure_observed,retreat_count,retreat_rate,authority_count,urgency_count,trust_building_count,fear_induction_count
0b0041b8-dd53-4c78-ad85-f312d832522c,1,Male,18-30,high,30,30,0,14,0.4666666666666667,6,2,11,0
0b0041b8-dd53-4c78-ad85-f312d832522c,2,Male,18-30,high,30,6,1,4,0.13333333333333333,8,18,14,6
0b0041b8-dd53-4c78-ad85-f312d832522c,3,Male,18-30,high,30,6,1,3,0.1,4,23,21,10
0b0041b8-dd53-4c78-ad85-f312d832522c,4,Male,18-30,high,30,17,1,13,0.43333333333333335,9,4,22,0
0b0041b8-dd53-4c78-ad85-f312d832522c,5,Male,18-30,high,19,7,1,2,0.10526315789473684,3,11,13,4
31ad5165-2233-4791-81c5-05b88e8ced9e,1,Male,31-50,high,30,6,1,10,0.3333333333333333,4,4,19,2
31ad5165-2233-4791-81c5-05b88e8ced9e,2,Male,31-50,high,30,5,1,10,0.3333333333333333,0,12,18,4
31ad5165-2233-4791-81c5-05b88e8ced9e,3,Male,31-50,high,30,5,1,8,0.26666666666666666,5,1,21,2
31ad5165-2233-4791-81c5-05b88e8ced9e,4,Male,31-50,high,30,7,1,13,0.43333333333333335,4,2,20,1
31ad5165-2233-4791-81c5-05b88e8ced9e,5,Male,31-50,high,30,11,1,12,0.4,6,2,22,0
266f8c14-127b-4635-9fdf-7445cd381cfc,1,Male,18-30,low,30,7,1,10,0.3333333333333333,7,2,26,0
266f8c14-127b-4635-9fdf-7445cd381cfc,2,Male,18-30,low,15,8,1,6,0.4,4,3,11,0
266f8c14-127b-4635-9fdf-7445cd381cfc,3,Male,18-30,low,30,6,1,14,0.4666666666666667,4,2,15,1
266f8c14-127b-4635-9fdf-7445cd381cfc,4,Male,18-30,low,24,6,1,5,0.20833333333333334,4,7,16,3
266f8c14-127b-4635-9fdf-7445cd381cfc,5,Male,18-30,low,30,7,1,9,0.3,2,11,24,1
5ee84b2e-98d4-44dc-9e6f-a5a369c36c12,1,Female,31-50,high,30,10,1,11,0.36666666666666664,5,4,21,4
5ee84b2e-98d4-44dc-9e6f-a5a369c36c12,2,Female,31-50,high,30,6,1,12,0.4,4,11,18,5
5ee84b2e-98d4-44dc-9e6f-a5a369c36c12,3,Female,31-50,high,30,7,1,7,0.23333333333333334,1,9,22,0
5ee84b2e-98d4-44dc-9e6f-a5a369c36c12,4,Female,31-50,high,30,8,1,11,0.36666666666666664,5,1,21,0
5ee84b2e-98d4-44dc-9e6f-a5a369c36c12,5,Female,31-50,high,30,6,1,10,0.3333333333333333,3,10,20,3
50bc1d81-37b3-4b19-94b2-8cc429d6dff6,1,Male,51-70+,low,30,9,1,13,0.43333333333333335,4,1,21,2
50bc1d81-37b3-4b19-94b2-8cc429d6dff6,2,Male,51-70+,low,30,16,1,15,0.5,12,2,16,1
50bc1d81-37b3-4b19-94b2-8cc429d6dff6,3,Male,51-70+,low,26,6,1,6,0.23076923076923078,6,6,18,1
50bc1d81-37b3-4b19-94b2-8cc429d6dff6,4,Male,51-70+,low,7,7,1,1,0.14285714285714285,2,0,6,0
50bc1d81-37b3-4b19-94b2-8cc429d6dff6,5,Male,51-70+,low,30,10,1,10,0.3333333333333333,5,3,21,2
18bcda3d-eccc-4e8c-aaab-940f547ada36,1,Male,31-50,low,30,8,1,5,0.16666666666666666,10,5,24,2
18bcda3d-eccc-4e8c-aaab-940f547ada36,2,Male,31-50,low,30,20,1,12,0.4,4,1,18,0
18bcda3d-eccc-4e8c-aaab-940f547ada36,3,Male,31-50,low,30,6,1,16,0.5333333333333333,4,1,13,0
18bcda3d-eccc-4e8c-aaab-940f547ada36,4,Male,31-50,low,12,7,1,4,0.3333333333333333,3,2,9,2
18bcda3d-eccc-4e8c-aaab-940f547ada36,5,Male,31-50,low,24,6,1,9,0.375,2,4,19,1
1d7e079d-cc92-47ea-9369-ea170a6799d5,1,Female,18-30,high,30,8,1,7,0.23333333333333334,5,6,15,3
1d7e079d-cc92-47ea-9369-ea170a6799d5,2,Female,18-30,high,11,5,1,3,0.2727272727272727,3,1,11,1
1d7e079d-cc92-47ea-9369-ea170a6799d5,3,Female,18-30,high,25,5,1,7,0.28,4,14,15,6
1d7e079d-cc92-47ea-9369-ea170a6799d5,4,Female,18-30,high,30,6,1,15,0.5,2,4,21,1
1d7e079d-cc92-47ea-9369-ea170a6799d5,5,Female,18-30,high,30,6,1,14,0.4666666666666667,7,5,19,1
0b0f8f2b-7634-4c51-b8d2-2cde27420da8,1,Female,51-70+,low,30,6,1,13,0.43333333333333335,8,0,14,4
0b0f8f2b-7634-4c51-b8d2-2cde27420da8,2,Female,51-70+,low,28,10,1,12,0.42857142857142855,5,2,21,0
0b0f8f2b-7634-4c51-b8d2-2cde27420da8,3,Female,51-70+,low,30,17,1,14,0.4666666666666667,4,1,16,0
