persona_uuid,run_number,sex,age_bracket,agree_bucket,total_victim_turns,mild_duration,mild_observed,high_duration,high_observed,max_engagement,retreat_rate,retreat_count,authority_count,urgency_count,trust_building_count,fear_induction_count
0b0041b8-dd53-4c78-ad85-f312d832522c,1,Male,18-30,high,30,4,1,30,0,3,0.4666666666666667,14,6,2,11,0
0b0041b8-dd53-4c78-ad85-f312d832522c,2,Male,18-30,high,30,3,1,30,0,3,0.1333333333333333,4,8,18,14,6
0b0041b8-dd53-4c78-ad85-f312d832522c,3,Male,18-30,high,30,4,1,30,0,3,0.1,3,4,23,21,10
0b0041b8-dd53-4c78-ad85-f312d832522c,4,Male,18-30,high,30,8,1,30,0,2,0.4333333333333333,13,9,4,22,0
0b0041b8-dd53-4c78-ad85-f312d832522c,5,Male,18-30,high,19,6,1,19,0,3,0.1052631578947368,2,3,11,13,4
31ad5165-2233-4791-81c5-05b88e8ced9e,1,Male,31-50,high,30,4,1,30,0,3,0.3333333333333333,10,4,4,19,2
31ad5165-2233-4791-81c5-05b88e8ced9e,2,Male,31-50,high,30,3,1,30,0,3,0.3333333333333333,10,0,12,18,4
31ad5165-2233-4791-81c5-05b88e8ced9e,3,Male,31-50,high,30,4,1,30,0,3,0.2666666666666666,8,5,1,21,2
31ad5165-2233-4791-81c5-05b88e8ced9e,4,Male,31-50,high,30,4,1,30,0,3,0.4333333333333333,13,4,2,20,1
31ad5165-2233-4791-81c5-05b88e8ced9e,5,Male,31-50,high,30,4,1,30,0,3,0.4,12,6,2,22,0
266f8c14-127b-4635-9fdf-7445cd381cfc,1,Male,18-30,low,30,5,1,14,1,3,0.3333333333333333,10,7,2,26,0
266f8c14-127b-4635-9fdf-7445cd381cfc,2,Male,18-30,low,15,4,1,15,0,2,0.4,6,4,3,11,0
266f8c14-127b-4635-9fdf-7445cd381cfc,3,Male,18-30,low,30,4,1,18,1,2,0.4666666666666667,14,4,2,15,1
